name,price,profit,net profit
Share-PATS,27.7,39.97,11.07
Share-ALIY,29.08,39.93,11.61
Share-JWGF,48.69,39.93,19.44
Share-NDKR,33.06,39.91,13.19
Share-PLLK,19.94,39.91,7.96
Share-FWBE,18.31,39.82,7.29
Share-LFXB,14.83,39.79,5.9
Share-ZOFA,25.32,39.78,10.07
Share-ANFX,38.55,39.72,15.31
Share-LXZU,4.24,39.54,1.68
Share-FAPS,32.57,39.54,12.88
Share-XQII,13.42,39.51,5.3
Share-ECAQ,31.66,39.49,12.5
Share-JGTW,35.29,39.43,13.91
Share-IXCI,26.32,39.4,10.37
Share-DWSK,29.49,39.35,11.6
Share-ROOM,15.06,39.23,5.91
Share-VCXT,29.19,39.22,11.45
Share-YFVZ,22.55,39.1,8.82
Share-OCKK,3.16,36.39,1.15
Share-JMLZ,1.27,24.71,0.31
Share-DYVD,0.28,10.25,0.03
